Asset1,Asset2,Cointegration P-Value,Pearson,Spearman,Kendall,Hedge Ratio,Half-Life
NEOUSDT,GALAUSDT,2.210725420508777e-15,0.975924399151876,0.9632254263247324,0.8426458492143422,288.63812406770387,1.275116345718589
YFIUSDT,COMPUSDT,1.1930522593256897e-07,0.9730285752927004,0.9366785335351976,0.7954383480704139,93.72440753331774,2.384040142559504
OGNUSDT,NKNUSDT,1.6895214076515148e-07,0.9739932515888646,0.9552756011721086,0.8302667852003204,1.1155334481161678,2.413748208592439
IDUSDT,BRETTUSDT,3.640295782684664e-07,0.9314111391127284,0.9360969889936106,0.7893355831114458,1.858696613184628,4.7527994318176825
LDOUSDT,ENSUSDT,1.6950486206473086e-06,0.9155810516923742,0.9280283295929028,0.7677857132296392,0.0446421579312919,3.718559483111958
MTLUSDT,ICXUSDT,3.564923651589829e-06,0.9698858277560104,0.969820291408475,0.8545868719641966,5.277134188051457,2.8639372228636573
RPLUSDT,ILVUSDT,4.712434041429356e-06,0.9566483276575688,0.9231989609133584,0.7799819537151644,0.2190906222371225,3.3873023003559
UNIUSDT,XVGUSDT,7.441779154355402e-06,0.9444586592920986,0.9089691196448912,0.7502186533835463,754.7063301093882,4.251933425233164
EOSUSDT,SANDUSDT,1.3841768283422382e-05,0.9769771810827302,0.9772859197967178,0.8795802065479504,1.1484191201721623,2.6678497924892635
WOOUSDT,u1000FLOKIUSDT,2.0992499602378333e-05,0.9154727538767994,0.9526666670554804,0.8192728165796246,1.0530908900816986,5.096390385934279
FORTHUSDT,ZEUSUSDT,2.8492871425584576e-05,0.9413158646867872,0.9028981034929756,0.7371149064679003,4.261079056794949,3.2776229439412843
ZRXUSDT,u1000PEPEUSDT,3.262626701737823e-05,0.9195555911412148,0.9386149095948388,0.798982860383266,18.571070611624982,4.113408142775256
BATUSDT,KSMUSDT,3.884116984346049e-05,0.9615424857885913,0.9376716886156276,0.7966741788587073,0.0056538227810301,1.5975176480713833
ASTRUSDT,COREUSDT,4.270772554111404e-05,0.930544998028444,0.9065749680285023,0.7520368001763951,0.0410285062763975,3.477501294239248
RVNUSDT,MOVRUSDT,4.9394023878644615e-05,0.9700245632431342,0.9666513601882614,0.8510879926208362,0.0013683774100382,2.315704881795479
INJUSDT,u1000FLOKIUSDT,5.35374718298168e-05,0.9097625817134264,0.9357340875254526,0.7846338240802571,91.07474397532648,4.15968343925226
RVNUSDT,PERPUSDT,5.5656038036947206e-05,0.9702317392118704,0.9634115415108166,0.8477179887665598,0.0241234887506316,3.483610043173641
OGNUSDT,ICPUSDT,7.274722158055523e-05,0.9479747292332488,0.9110979745493796,0.7576492899269884,0.0101869270329052,3.075766208447548
FLMUSDT,TLMUSDT,8.654297320768234e-05,0.9673388067999048,0.9503428674428204,0.8393116652076602,5.024041172076258,3.576565628520952
BNBUSDT,RSRUSDT,0.0001267956063012,0.9106097908478722,0.9365632885379972,0.7948888206137409,15799.768603483004,3.686535056410389
AXSUSDT,GRTUSDT,0.0001474310322609,0.979764461541246,0.9694741072281868,0.856569063386117,25.627157291597,3.732310541858193
MTLUSDT,GRTUSDT,0.0001925373096303,0.9456866196175904,0.9264987197809949,0.7646411023405189,3.8773069857845495,3.842039676093276
STXUSDT,DYMUSDT,0.0002270956423192,0.9558510317461972,0.9379084630870026,0.802482203189402,0.7882152313023038,3.307496696995307
ARUSDT,REZUSDT,0.0002546582469181,0.9101608636851723,0.9239915545920704,0.7709621441008335,322.507461733219,6.258359470229185
